Country,Year,Inventory
   Ireland,2002,360000
   Italy,2002,15180000
   Netherlands,2002,42420000
   Portugal,2002,6660000
   Spain,2002,26640000
   Sweden,2002,5220000
Japan,2002,103020000
Norway,2002,7440000
Switzerland,2002,10920000
United Kingdom,2002,8460000
United States of America,2002,343200000
Unspecified EU stocks,2002,359280000
   Austria,2003,7860000
   Cyprus,2003,780000
   Denmark,2003,5340000
   Finland,2003,5640000
   France,2003,39000000
   Germany,2003,197400000
   Ireland,2003,420000
   Italy,2003,15900000
   Netherlands,2003,42420000
   Portugal,2003,10680000
   Spain,2003,28440000
   Sweden,2003,5220000
Japan,2003,103980000
Norway,2003,7440000
Switzerland,2003,13680000
United Kingdom,2003,8880000
United States of America,2003,329400000
Unspecified EU stocks,2003,384960000
   Austria,2004,7800000
   Cyprus,2004,360000
   Denmark,2004,5340000
   Finland,2004,4980000
   France,2004,37260000
   Germany,2004,191400000
   Ireland,2004,600000
   Italy,2004,16140000
   Netherlands,2004,42420000
   Portugal,2004,10200000
   Spain,2004,30300000
   Sweden,2004,5220000
Japan,2004,106980000
Norway,2004,7440000
Switzerland,2004,13800000
United Kingdom,2004,10800000
United States of America,2004,304500000
Unspecified EU stocks,2004,419460000
   Austria,2005,7740000
   Cyprus,2005,420000
   Denmark,2005,5340000
   Finland,2005,4980000
   France,2005,31200000
   Germany,2005,173100000
   Ireland,2005,480000
   Italy,2005,16680000
   Netherlands,2005,42420000
   Portugal,2005,9000000
   Spain,2005,24060000
   Sweden,2005,5220000
Japan,2005,120000000
Norway,2005,7440000
Switzerland,2005,12240000
United Kingdom,2005,2880000
United States of America,2005,280020000
Unspecified EU stocks,2005,460260000
   Austria,2006,7560000
   Cyprus,2006,480000
   Denmark,2006,5340000
   Finland,2006,4980000
   France,2006,28560000
   Germany,2006,186060000
   Ireland,2006,360000
   Italy,2006,17640000
   Netherlands,2006,42420000
   Portugal,2006,7800000
   Spain,2006,27720000
   Sweden,2006,5220000
Japan,2006,139020000
Norway,2006,7440000
Switzerland,2006,9240000
United Kingdom,2006,5160000
United States of America,2006,299220000
Unspecified EU stocks,2006,336900000
   Austria,2007,7680000
   Cyprus,2007,480000
   Denmark,2007,5340000
   Finland,2007,4980000
   France,2007,22080000
   Germany,2007,200460000
   Ireland,2007,660000
   Italy,2007,18840000
   Netherlands,2007,42420000
   Portugal,2007,7200000
   Spain,2007,37080000
   Sweden,2007,5220000
Japan,2007,121980000
Norway,2007,7440000
Switzerland,2007,8700000
United Kingdom,2007,3240000
United States of America,2007,327960000
Unspecified EU stocks,2007,425280000
   Austria,2008,7740000
   Cyprus,2008,480000
   Denmark,2008,5340000
   Finland,2008,4980000
   France,2008,30240000
   Germany,2008,192660000
   Ireland,2008,480000
   Italy,2008,19020000
   Netherlands,2008,42420000
   Portugal,2008,6600000
   Spain,2008,33300000
   Sweden,2008,5220000
Japan,2008,111000000
Norway,2008,7440000
Switzerland,2008,5460000
United Kingdom,2008,3240000
United States of America,2008,313800000
Unspecified EU stocks,2008,470760000
   Austria,2009,8280000
   Cyprus,2009,300000
   Denmark,2009,5340000
   Finland,2009,4980000
   France,2009,28980000
   Germany,2009,174660000
   Ireland,2009,420000
