Country,Coffee type,Period,Consumption
Tanzania,Arabica/Robusta,1992/93,1152000
Zambia,Arabica,1992/93,85920
Cameroon,Robusta/Arabica,1992/93,4999980
Central African Republic,Robusta,1992/93,1680000
Colombia,Arabica,1992/93,78180000
Costa Rica,Arabica,1992/93,22500000
Côte d'Ivoire,Robusta,1992/93,3000000
Democratic Republic of Congo,Robusta/Arabica,1992/93,12000000
El Salvador,Arabica,1992/93,13800000
Equatorial Guinea,Robusta,1992/93,0
Ethiopia,Arabica,1992/93,79860000
Gabon,Robusta,1992/93,48000
Ghana,Robusta,1992/93,1020000
Guatemala,Arabica/Robusta,1992/93,18000000
Guinea,Robusta,1992/93,3750000
Guyana,Robusta,1992/93,0
Honduras,Arabica,1992/93,14400000
India,Robusta/Arabica,1992/93,55020000
Jamaica,Arabica,1992/93,360000
Kenya,Arabica,1992/93,3000000
Lao People's Democratic Republic,Robusta,1992/93,0
Liberia,Robusta,1992/93,180000
Mexico,Arabica/Robusta,1992/93,78000000
Nepal,Arabica,1992/93,0
Nicaragua,Arabica,1992/93,3936000
Nigeria,Robusta,1992/93,2145000
Panama,Arabica,1992/93,4020000
Sierra Leone,Robusta,1992/93,540000
Sri Lanka,Robusta/Arabica,1992/93,1680000
Thailand,Robusta/Arabica,1992/93,13980000
Togo,Robusta,1992/93,60000
Trinidad & Tobago,Robusta,1992/93,600000
Uganda,Robusta/Arabica,1992/93,4500000
Venezuela,Arabica,1992/93,50998200
Viet Nam,Robusta/Arabica,1992/93,15000000
Yemen,Arabica,1992/93,0
Angola,Robusta/Arabica,1993/94,1200000
Bolivia (Plurinational State of),Arabica,1993/94,1710000
Brazil,Arabica/Robusta,1993/94,546000000
Burundi,Arabica/Robusta,1993/94,114600
Ecuador,Arabica/Robusta,1993/94,21000000
Indonesia,Robusta/Arabica,1993/94,81540000
Madagascar,Robusta,1993/94,21600000
Malawi,Arabica,1993/94,120000
Papua New Guinea,Arabica/Robusta,1993/94,120000
Paraguay,Arabica,1993/94,1200000
Peru,Arabica,1993/94,12000000
Rwanda,Arabica,1993/94,60000
Timor-Leste,Arabica,1993/94,0
Zimbabwe,Arabica,1993/94,499980
Congo,Robusta,1993/94,180000
Cuba,Arabica,1993/94,11646000
Dominican Republic,Arabica/Robusta,1993/94,19200000
Haiti,Arabica,1993/94,19800000
Philippines,Robusta/Arabica,1993/94,46200000
Tanzania,Arabica/Robusta,1993/94,1050000
Zambia,Arabica,1993/94,60000
Cameroon,Robusta/Arabica,1993/94,6000000
Central African Republic,Robusta,1993/94,1500000
Colombia,Arabica,1993/94,80340000
Costa Rica,Arabica,1993/94,22500000
Côte d'Ivoire,Robusta,1993/94,3000000
Democratic Republic of Congo,Robusta/Arabica,1993/94,12000000
El Salvador,Arabica,1993/94,13800000
Equatorial Guinea,Robusta,1993/94,0
Ethiopia,Arabica,1993/94,84120000
Gabon,Robusta,1993/94,48000
Ghana,Robusta,1993/94,1020000
Guatemala,Arabica/Robusta,1993/94,18600000
Guinea,Robusta,1993/94,1980000
Guyana,Robusta,1993/94,0
Honduras,Arabica,1993/94,13800000
India,Robusta/Arabica,1993/94,49999980
Jamaica,Arabica,1993/94,576000
Kenya,Arabica,1993/94,3000000
Lao People's Democratic Republic,Robusta,1993/94,0
Liberia,Robusta,1993/94,300000
Mexico,Arabica/Robusta,1993/94,64200000
Nepal,Arabica,1993/94,0
Nicaragua,Arabica,1993/94,6534000
Nigeria,Robusta,1993/94,2400000
Panama,Arabica,1993/94,4020000
Sierra Leone,Robusta,1993/94,300000
Sri Lanka,Robusta/Arabica,1993/94,1200000
Thailand,Robusta/Arabica,1993/94,15000000
Togo,Robusta,1993/94,60000
Trinidad & Tobago,Robusta,1993/94,600000
Uganda,Robusta/Arabica,1993/94,4500000
Venezuela,Arabica,1993/94,53155800
Viet Nam,Robusta/Arabica,1993/94,16020000
Yemen,Arabica,1993/94,0
Angola,Robusta/Arabica,1994/95,1500000
Bolivia (Plurinational State of),Arabica,1994/95,1770000
Brazil,Arabica/Robusta,1994/95,558000000
Burundi,Arabica/Robusta,1994/95,120000
Ecuador,Arabica/Robusta,1994/95,21000000
Indonesia,Robusta/Arabica,1994/95,84000000
Madagascar,Robusta,1994/95,9999960
Malawi,Arabica,1994/95,120000
Papua New Guinea,Arabica/Robusta,1994/95,120000
Paraguay,Arabica,1994/95,1200000
Peru,Arabica,1994/95,12000000
Rwanda,Arabica,1994/95,60000
Timor-Leste,Arabica,1994/95,0
Zimbabwe,Arabica,1994/95,499980
Congo,Robusta,1994/95,180000
Cuba,Arabica,1994/95,11640000
Dominican Republic,Arabica/Robusta,1994/95,19800000
Haiti,Arabica,1994/95,19800000
Philippines,Robusta/Arabica,1994/95,47400000
Tanzania,Arabica/Robusta,1994/95,1050000
Zambia,Arabica,1994/95,90000
Cameroon,Robusta/Arabica,1994/95,6000000
Central African Republic,Robusta,1994/95,900000
Colombia,Arabica,1994/95,82500000
Costa Rica,Arabica,1994/95,22500000
Côte d'Ivoire,Robusta,1994/95,3000000
Democratic Republic of Congo,Robusta/Arabica,1994/95,12000000
El Salvador,Arabica,1994/95,13800000
Equatorial Guinea,Robusta,1994/95,0
Ethiopia,Arabica,1994/95,88560000
Gabon,Robusta,1994/95,60000
Ghana,Robusta,1994/95,1680000
Guatemala,Arabica/Robusta,1994/95,18600000
Guinea,Robusta,1994/95,3000000
Guyana,Robusta,1994/95,0
Honduras,Arabica,1994/95,15180000
India,Robusta/Arabica,1994/95,50100000
Jamaica,Arabica,1994/95,900000
Kenya,Arabica,1994/95,3000000
Lao People's Democratic Republic,Robusta,1994/95,0
Liberia,Robusta,1994/95,300000
Mexico,Arabica/Robusta,1994/95,61200000
Nepal,Arabica,1994/95,0
Nicaragua,Arabica,1994/95,5376000
Nigeria,Robusta,1994/95,2400000
Panama,Arabica,1994/95,4600020
Sierra Leone,Robusta,1994/95,300000
Sri Lanka,Robusta/Arabica,1994/95,1200000
Thailand,Robusta/Arabica,1994/95,16980000
Togo,Robusta,1994/95,60000
Trinidad & Tobago,Robusta,1994/95,840000
Uganda,Robusta/Arabica,1994/95,4800000
Venezuela,Arabica,1994/95,55404000
Viet Nam,Robusta/Arabica,1994/95,16020000
Yemen,Arabica,1994/95,0
Angola,Robusta/Arabica,1995/96,600000
Bolivia (Plurinational State of),Arabica,1995/96,1830000
Brazil,Arabica/Robusta,1995/96,606000000
Burundi,Arabica/Robusta,1995/96,120000
Ecuador,Arabica/Robusta,1995/96,21000000
Indonesia,Robusta/Arabica,1995/96,86580000
Madagascar,Robusta,1995/96,10020000
Malawi,Arabica,1995/96,120000
Papua New Guinea,Arabica/Robusta,1995/96,120000
Paraguay,Arabica,1995/96,1200000
Peru,Arabica,1995/96,12000000
Rwanda,Arabica,1995/96,60000
Timor-Leste,Arabica,1995/96,0
Zimbabwe,Arabica,1995/96,396000
Congo,Robusta,1995/96,180000
Cuba,Arabica,1995/96,11640000
Dominican Republic,Arabica/Robusta,1995/96,21000000
Haiti,Arabica,1995/96,19800000
Philippines,Robusta/Arabica,1995/96,48600000
Tanzania,Arabica/Robusta,1995/96,816000
Zambia,Arabica,1995/96,36000
Cameroon,Robusta/Arabica,1995/96,6000000
Central African Republic,Robusta,1995/96,600000
Colombia,Arabica,1995/96,81540000
Costa Rica,Arabica,1995/96,22500000
Côte d'Ivoire,Robusta,1995/96,3000000
Democratic Republic of Congo,Robusta/Arabica,1995/96,12000000
El Salvador,Arabica,1995/96,16200000
Equatorial Guinea,Robusta,1995/96,0
Ethiopia,Arabica,1995/96,93300000
Gabon,Robusta,1995/96,48000
Ghana,Robusta,1995/96,1680000
Guatemala,Arabica/Robusta,1995/96,18600000
Guinea,Robusta,1995/96,3000000
Guyana,Robusta,1995/96,0
Honduras,Arabica,1995/96,9660000
India,Robusta/Arabica,1995/96,50220000
Jamaica,Arabica,1995/96,900000
Kenya,Arabica,1995/96,3000000
Lao People's Democratic Republic,Robusta,1995/96,0
Liberia,Robusta,1995/96,300000
Mexico,Arabica/Robusta,1995/96,70740000
Nepal,Arabica,1995/96,0
Nicaragua,Arabica,1995/96,6690000
Nigeria,Robusta,1995/96,2400000
Panama,Arabica,1995/96,4600020
Sierra Leone,Robusta,1995/96,480000
Sri Lanka,Robusta/Arabica,1995/96,1200000
Thailand,Robusta/Arabica,1995/96,25020000
Togo,Robusta,1995/96,60000
Trinidad & Tobago,Robusta,1995/96,840000
Uganda,Robusta/Arabica,1995/96,4800000
Venezuela,Arabica,1995/96,57747600
Viet Nam,Robusta/Arabica,1995/96,16910700
Yemen,Arabica,1995/96,0
Angola,Robusta/Arabica,1996/97,1200000
Bolivia (Plurinational State of),Arabica,1996/97,1890000
Brazil,Arabica/Robusta,1996/97,660000000
Burundi,Arabica/Robusta,1996/97,120000
Ecuador,Arabica/Robusta,1996/97,18000000
Indonesia,Robusta/Arabica,1996/97,89160000
Madagascar,Robusta,1996/97,10020000
Malawi,Arabica,1996/97,120000
Papua New Guinea,Arabica/Robusta,1996/97,120000
Paraguay,Arabica,1996/97,1200000
Peru,Arabica,1996/97,12000000
Rwanda,Arabica,1996/97,60000
Timor-Leste,Arabica,1996/97,0
Zimbabwe,Arabica,1996/97,240000
Congo,Robusta,1996/97,180000
Cuba,Arabica,1996/97,11340000
Dominican Republic,Arabica/Robusta,1996/97,19500000
Haiti,Arabica,1996/97,19800000
Philippines,Robusta/Arabica,1996/97,49860000
Tanzania,Arabica/Robusta,1996/97,996000
Zambia,Arabica,1996/97,60000
Cameroon,Robusta/Arabica,1996/97,6000000
Central African Republic,Robusta,1996/97,600000
Colombia,Arabica,1996/97,80580000
Costa Rica,Arabica,1996/97,22500000
Côte d'Ivoire,Robusta,1996/97,3000000
Democratic Republic of Congo,Robusta/Arabica,1996/97,12000000
El Salvador,Arabica,1996/97,13800000
Equatorial Guinea,Robusta,1996/97,0
Ethiopia,Arabica,1996/97,98220000
Gabon,Robusta,1996/97,49980
Ghana,Robusta,1996/97,180000
Guatemala,Arabica/Robusta,1996/97,18000000
Guinea,Robusta,1996/97,3000000
Guyana,Robusta,1996/97,0
Honduras,Arabica,1996/97,10075440
India,Robusta/Arabica,1996/97,50280000
Jamaica,Arabica,1996/97,1080000
Kenya,Arabica,1996/97,3000000
Lao People's Democratic Republic,Robusta,1996/97,0
Liberia,Robusta,1996/97,300000
Mexico,Arabica/Robusta,1996/97,74100000
Nepal,Arabica,1996/97,0
Nicaragua,Arabica,1996/97,5722200
Nigeria,Robusta,1996/97,2400000
Panama,Arabica,1996/97,4600020
Sierra Leone,Robusta,1996/97,480000
Sri Lanka,Robusta/Arabica,1996/97,1200000
Thailand,Robusta/Arabica,1996/97,19980000
Togo,Robusta,1996/97,60000
Trinidad & Tobago,Robusta,1996/97,840000
Uganda,Robusta/Arabica,1996/97,4800000
Venezuela,Arabica,1996/97,60190800
Viet Nam,Robusta/Arabica,1996/97,17850960
Yemen,Arabica,1996/97,0
Angola,Robusta/Arabica,1997/98,2400000
Bolivia (Plurinational State of),Arabica,1997/98,1950000
Brazil,Arabica/Robusta,1997/98,690000000
Burundi,Arabica/Robusta,1997/98,120000
Ecuador,Arabica/Robusta,1997/98,18000000
Indonesia,Robusta/Arabica,1997/98,91920000
Madagascar,Robusta,1997/98,10020000
Malawi,Arabica,1997/98,120000
Papua New Guinea,Arabica/Robusta,1997/98,120000
Paraguay,Arabica,1997/98,1200000
Peru,Arabica,1997/98,12000000
Rwanda,Arabica,1997/98,180000
Timor-Leste,Arabica,1997/98,0
Zimbabwe,Arabica,1997/98,240000
Congo,Robusta,1997/98,180000
Cuba,Arabica,1997/98,11700000
Dominican Republic,Arabica/Robusta,1997/98,19500000
Haiti,Arabica,1997/98,19800000
Philippines,Robusta/Arabica,1997/98,51180000
Tanzania,Arabica/Robusta,1997/98,1020000
Zambia,Arabica,1997/98,36000
Cameroon,Robusta/Arabica,1997/98,6000000
Central African Republic,Robusta,1997/98,600000
Colombia,Arabica,1997/98,79680000
Costa Rica,Arabica,1997/98,22500000
Côte d'Ivoire,Robusta,1997/98,3000000
Democratic Republic of Congo,Robusta/Arabica,1997/98,12000000
El Salvador,Arabica,1997/98,11500020
Equatorial Guinea,Robusta,1997/98,0
Ethiopia,Arabica,1997/98,103440000
Gabon,Robusta,1997/98,48000
Ghana,Robusta,1997/98,180000
Guatemala,Arabica/Robusta,1997/98,18000000
Guinea,Robusta,1997/98,3000000
Guyana,Robusta,1997/98,0
Honduras,Arabica,1997/98,9660000
India,Robusta/Arabica,1997/98,50340000
Jamaica,Arabica,1997/98,1200000
Kenya,Arabica,1997/98,3000000
Lao People's Democratic Republic,Robusta,1997/98,0
Liberia,Robusta,1997/98,300000
Mexico,Arabica/Robusta,1997/98,72060000
Nepal,Arabica,1997/98,0
Nicaragua,Arabica,1997/98,7380000
Nigeria,Robusta,1997/98,2400000
Panama,Arabica,1997/98,4836900
Sierra Leone,Robusta,1997/98,300000
Sri Lanka,Robusta/Arabica,1997/98,1200000
Thailand,Robusta/Arabica,1997/98,23400000
Togo,Robusta,1997/98,60000
Trinidad & Tobago,Robusta,1997/98,840000
Uganda,Robusta/Arabica,1997/98,6071400
Venezuela,Arabica,1997/98,62736599
Viet Nam,Robusta/Arabica,1997/98,18843480
Yemen,Arabica,1997/98,0
Angola,Robusta/Arabica,1998/99,1800000
Bolivia (Plurinational State of),Arabica,1998/99,1980000
Brazil,Arabica/Robusta,1998/99,732000000
Burundi,Arabica/Robusta,1998/99,120000
Ecuador,Arabica/Robusta,1998/99,18000000
Indonesia,Robusta/Arabica,1998/99,94680000
Madagascar,Robusta,1998/99,10020000
Malawi,Arabica,1998/99,120000
Papua New Guinea,Arabica/Robusta,1998/99,60000
Paraguay,Arabica,1998/99,1200000
Peru,Arabica,1998/99,12000000
Rwanda,Arabica,1998/99,180000
Timor-Leste,Arabica,1998/99,0
Zimbabwe,Arabica,1998/99,240000
Congo,Robusta,1998/99,180000
Cuba,Arabica,1998/99,12000000
Dominican Republic,Arabica/Robusta,1998/99,19500000
Haiti,Arabica,1998/99,19800000
Philippines,Robusta/Arabica,1998/99,48600000
Tanzania,Arabica/Robusta,1998/99,1020000
Zambia,Arabica,1998/99,36000
Cameroon,Robusta/Arabica,1998/99,6000000
Central African Republic,Robusta,1998/99,1140000
Colombia,Arabica,1998/99,78720000
Costa Rica,Arabica,1998/99,22500000
Côte d'Ivoire,Robusta,1998/99,3000000
Democratic Republic of Congo,Robusta/Arabica,1998/99,12000000
El Salvador,Arabica,1998/99,11500020
Equatorial Guinea,Robusta,1998/99,0
Ethiopia,Arabica,1998/99,108960000
Gabon,Robusta,1998/99,48000
Ghana,Robusta,1998/99,60000
Guatemala,Arabica/Robusta,1998/99,18000000
Guinea,Robusta,1998/99,3000000
Guyana,Robusta,1998/99,292020
Honduras,Arabica,1998/99,8280000
India,Robusta/Arabica,1998/99,54000000
Jamaica,Arabica,1998/99,888000
Kenya,Arabica,1998/99,3000000
Lao People's Democratic Republic,Robusta,1998/99,0
Liberia,Robusta,1998/99,300000
Mexico,Arabica/Robusta,1998/99,66480000
Nepal,Arabica,1998/99,0
Nicaragua,Arabica,1998/99,7590000
Nigeria,Robusta,1998/99,2400000
Panama,Arabica,1998/99,4020000
Sierra Leone,Robusta,1998/99,300000
Sri Lanka,Robusta/Arabica,1998/99,1800000
Thailand,Robusta/Arabica,1998/99,25980000
Togo,Robusta,1998/99,120000
Trinidad & Tobago,Robusta,1998/99,840000
Uganda,Robusta/Arabica,1998/99,6960000
Venezuela,Arabica,1998/99,65390400
Viet Nam,Robusta/Arabica,1998/99,19891140
Yemen,Arabica,1998/99,0
Angola,Robusta/Arabica,1999/00,1200000
Bolivia (Plurinational State of),Arabica,1999/00,2040000
Brazil,Arabica/Robusta,1999/00,762000000
Burundi,Arabica/Robusta,1999/00,120000
Ecuador,Arabica/Robusta,1999/00,13800000
Indonesia,Robusta/Arabica,1999/00,97560000
Madagascar,Robusta,1999/00,3360000
Malawi,Arabica,1999/00,60000
Papua New Guinea,Arabica/Robusta,1999/00,120000
Paraguay,Arabica,1999/00,1200000
Peru,Arabica,1999/00,12000000
Rwanda,Arabica,1999/00,120000
Timor-Leste,Arabica,1999/00,0
Zimbabwe,Arabica,1999/00,240000
Congo,Robusta,1999/00,180000
Cuba,Arabica,1999/00,12000000
Dominican Republic,Arabica/Robusta,1999/00,19500000
Haiti,Arabica,1999/00,20400000
Philippines,Robusta/Arabica,1999/00,51720000
Tanzania,Arabica/Robusta,1999/00,840000
Zambia,Arabica,1999/00,36000
Cameroon,Robusta/Arabica,1999/00,6000000
Central African Republic,Robusta,1999/00,1260000
Colombia,Arabica,1999/00,77820000
Costa Rica,Arabica,1999/00,22500000
Côte d'Ivoire,Robusta,1999/00,3000000
Democratic Republic of Congo,Robusta/Arabica,1999/00,12000000
El Salvador,Arabica,1999/00,9198000
Equatorial Guinea,Robusta,1999/00,0
Ethiopia,Arabica,1999/00,114720000
Gabon,Robusta,1999/00,42900
Ghana,Robusta,1999/00,60000
Guatemala,Arabica/Robusta,1999/00,18000000
Guinea,Robusta,1999/00,3000000
Guyana,Robusta,1999/00,261000
Honduras,Arabica,1999/00,10080000
India,Robusta/Arabica,1999/00,55500000
Jamaica,Arabica,1999/00,660000
Kenya,Arabica,1999/00,3000000
Lao People's Democratic Republic,Robusta,1999/00,0
Liberia,Robusta,1999/00,300000
Mexico,Arabica/Robusta,1999/00,69000000
Nepal,Arabica,1999/00,0
Nicaragua,Arabica,1999/00,7818000
Nigeria,Robusta,1999/00,2400000
